Name,2017-18 Salary,2018-19 Salary,2019-20 Salary,2020-21 Salary,Contract Type,Name,Team
Frank Kaminsky,2847600,3627842.0,,,1st round pick,Frank Kaminsky,CHO
Andrew Nicholson,2844429,2844429.0,2844429.0,2844429.0,,Andrew Nicholson,POR
Jakob Poeltl,2825640,2947320.0,3754886.0,,1st Round pick,Jakob Poeltl,TOR
Luke Kennard,2759280,3275280.0,3827160.0,5273826.0,1st Round Pick,Luke Kennard,DET
Justise Winslow,2705040,3448926.0,,,1st round pick,Justise Winslow,MIA
Michael Carter-Williams,2700000,,,,Bi-annual Exception,Michael Carter-Williams,CHO
Thon Maker,2684160,2799720.0,3569643.0,,1st Round pick,Thon Maker,MIL
Cedi Osman,2642857,2775000.0,2907143.0,,MLE,Cedi Osman,CLE
Donovan Mitchell,2621280,3111480.0,3635760.0,5195501.0,1st Round Pick,Donovan Mitchell,UTA
Myles Turner,2569920,3410284.0,,,1st round pick,Myles Turner,IND
Gary Harris,2550055,16517857.0,17839286.0,19160714.0,1st Round Pick,Gary Harris,DEN
Domantas Sabonis,2550000,2659800.0,3529555.0,,1st Round pick,Domantas Sabonis,IND
Manu Ginobili,2500000,2500000.0,,,,Manu Ginobili,SAS
Reggie Bullock,2500000,2500000.0,,,Cap space,Reggie Bullock,DET
Richard Jefferson,2500000,,,,,Richard Jefferson,ATL
Malcolm Delaney,2500000,,,,Room Exception,Malcolm Delaney,ATL
Bam Adebayo,2490360,2955840.0,3454080.0,5115492.0,1st Round Pick,Bam Adebayo,MIA
Bruno Caboclo,2451225,,,,1st Round Pick,Bruno Caboclo,SAC
Ronnie Price,2442455,,,,,Ronnie Price,OKC
Trey Lyles,2441400,3364249.0,,,1st round pick,Trey Lyles,DEN
Dario Saric,2422560,2526840.0,3481986.0,,1st Round pick,Dario Saric,PHI
Taurean Waller-Prince,2422560,2526840.0,3481986.0,,1st Round pick,Taurean Waller-Prince,ATL
Rodney Hood,2386864,,,,1st Round Pick,Rodney Hood,CLE
Justin Jackson,2365560,2807880.0,3280920.0,5029650.0,1st Round Pick,Justin Jackson,SAC
Shabazz Napier,2361360,,,,1st Round Pick,Shabazz Napier,POR
Clint Capela,2334520,,,,1st Round Pick,Clint Capela,HOU
Arron Afflalo,2328652,,,,Minimum Salary,Arron Afflalo,ORL
Nick Collison,2328652,,,,Minimum Salary,Nick Collison,OKC
Raymond Felton,2328652,,,,Minimum Salary,Raymond Felton,OKC
Ramon Sessions,2328652,,,,,Ramon Sessions,NYK
Jarrett Jack,2328652,,,,Minimum Salary,Jarrett Jack,NYK
Jason Terry,2328652,,,,Minimum Salary,Jason Terry,MIL
Udonis Haslem,2328652,,,,Minimum Salary,Udonis Haslem,MIA
Dwyane Wade,2328652,,,,Minimum Salary,Dwyane Wade,MIA
David West,2328652,,,,Minimum Salary,David West,GSW
Richard Jefferson,2328652,,,,Minimum Salary,Richard Jefferson,DEN
Jose Calderon,2328652,,,,Minimum Salary,Jose Calderon,CLE
Andrew Bogut,2328652,,,,,Andrew Bogut,LAL
Devin Booker,2319360,3314365.0,27250000.0,29430000.0,1st round pick,Devin Booker,PHO
Georgios Papagiannis,2301360,2400480.0,3430288.0,,,Georgios Papagiannis,SAC
Dante Cunningham,2300000,,,,MLE,Dante Cunningham,BRK
Jameer Nelson,2262871,,,,,Jameer Nelson,DET
Justin Patton,2247480,2667600.0,3117240.0,4781846.0,1st Round Pick,Justin Patton,MIN
Guerschon Yabusele,2247480,2667600.0,3117240.0,4781846.0,1st Round Pick,Guerschon Yabusele,BOS
Monta Ellis,2245400,2245400.0,2245400.0,2245400.0,,Monta Ellis,IND
Cameron Payne,2203440,3263295.0,,,1st round pick,Cameron Payne,CHI
Denzel Valentine,2186400,2280600.0,3377569.0,,1st Round pick,Denzel Valentine,CHI
Josh Smith,2183934,,,,,Josh Smith,NOP
Kyle Anderson,2151704,,,,1st Round Pick,Kyle Anderson,SAS
D.J. Wilson,2135040,2534280.0,2961120.0,4548280.0,1st Round Pick,D.J. Wilson,MIL
Matt Barnes,2133542,2133542.0,2133541.0,,,Matt Barnes,SAC
Derrick Rose,2116955,,,,,Derrick Rose,UTA
Marreese Speights,2116955,,,,Minimum Salary,Marreese Speights,ORL
Michael Beasley,2116955,,,, Minimum Salary,Michael Beasley,NYK
Aaron Brooks,2116955,,,,,Aaron Brooks,MIN
Luc Mbah a Moute,2116955,,,,Minimum Salary,Luc Mbah a Moute,HOU
JaVale McGee,2116955,,,,,JaVale McGee,GSW
Jeff Green,2116955,,,,Minimum Salary,Jeff Green,CLE
Tony Allen,2116955,,,,,Tony Allen,CHI
Damien Wilkins,2116955,,,,,Damien Wilkins,IND
Omri Casspi,2106470,,,,,Omri Casspi,GSW
Mario Chalmers,2106407,,,,Minimum Salary,Mario Chalmers,MEM
Darius Miller,2100000,2205000.0,,,MLE,Darius Miller,NOP
Kelly Oubre,2093040,3208630.0,,,1st round pick,Kelly Oubre,WAS
Juan Hernangomez,2076840,2166360.0,3321030.0,,1st Round pick,Juan Hernangomez,DEN
T.J. Leaf,2028360,2407560.0,2813280.0,4326825.0,1st Round Pick,T.J. Leaf,IND
Tim Frazier,2000000,,,,Room exception,Tim Frazier,WAS
Anthony Tolliver,2000000,,,,,Anthony Tolliver,SAC
Terry Rozier,1988520,3050390.0,,,1st round pick,Terry Rozier,BOS
Luke Babbitt,1974159,,,,Minimum Salary,Luke Babbitt,MIA
John Collins,1936920,2299080.0,2686560.0,4137302.0,1st Round Pick,John Collins,ATL
Anderson Varejao,1913345,1913345.0,1913345.0,1913345.0,,Anderson Varejao,POR
Rashad Vaughn,1889040,,,,,Rashad Vaughn,NOP
Tim Duncan,1881250,1881250.0,,,,Tim Duncan,SAS
Wade Baldwin,1874400,,,,,Wade Baldwin,MEM
Larry Sanders,1865547,1865547.0,1865547.0,1865547.0,,Larry Sanders,MIL
Harry Giles,1859400,2207040.0,2578800.0,3976510.0,1st Round Pick,Harry Giles,SAC
Sam Dekker,1794600,2760095.0,,,1st Round pick,Sam Dekker,LAC
Terrance Ferguson,1785000,2118840.0,2475840.0,3944013.0,1st Round Pick,Terrance Ferguson,OKC
Henry Ellenson,1780800,1857480.0,2856804.0,,1st Round pick,Henry Ellenson,DET
Eric Moreland,1739333,1826300.0,1913267.0,,MLE,Eric Moreland,DET
Jerian Grant,1713840,2639314.0,,,1st Round pick,Jerian Grant,CHI
Jarrett Allen,1713720,2034120.0,2376840.0,3909902.0,1st Round Pick,Jarrett Allen,BRK
Mike Scott,1709538,,,,Minimum Salary,Mike Scott,WAS
Tyler Zeller,1709538,1933941.0,,,,Tyler Zeller,MIL
Quincy Acy,1709538,,,,,Quincy Acy,BRK
Malik Beasley,1700640,1773840.0,2731714.0,,1st Round pick,Malik Beasley,DEN
Mike Dunleavy,1662500,,,,,Mike Dunleavy,ATL
Delon Wright,1645200,2536898.0,,,1st Round pick,Delon Wright,TOR
OG Anunoby,1645200,1952760.0,2281800.0,3872215.0,1st Round Pick,OG Anunoby,TOR
Ante Zizic,1645200,1952760.0,2281800.0,3872215.0,1st Round Pick,Ante Zizic,CLE
Caris LeVert,1632480,1702800.0,2625718.0,,1st Round pick,Caris LeVert,BRK
Nik Stauskas,1621415,,,,Minimum Salary,Nik Stauskas,POR
Justin Anderson,1579440,2516048.0,,,1st Round pick,Justin Anderson,PHI
Tyler Lydon,1579440,1874640.0,2190720.0,,1st Round Pick,Tyler Lydon,DEN
Jeff Withey,1577320,1795015.0,,,,Jeff Withey,DAL
Ian Clark,1577230,,,,Minimum Salary,Ian Clark,NOP
Shabazz Muhammad,1577230,1795015.0,,,,Shabazz Muhammad,MIN
Willie Reed,1577230,,,,,Willie Reed,CHI
DeAndre Liggins,1577230,,,,,DeAndre Liggins,MIL
DeAndre' Bembry,1567200,1634640.0,2603982.0,,1st Round pick,DeAndre' Bembry,ATL
Jerami Grant,1524305,,,,Draft Pick,Jerami Grant,OKC
Joffrey Lauvergne,1524305,,,,,Joffrey Lauvergne,SAS
Johnny O'Bryant,1524305,,,,,Johnny O'Bryant,NYK
Tyler Ennis,1524305,1656092.0,,,Minimum Salary,Tyler Ennis,LAL
Julyan Stone,1524305,1656092.0,,,Minimum Salary,Julyan Stone,CHO
Sean Kilpatrick,1524305,,,,,Sean Kilpatrick,BRK
Spencer Dinwiddie,1524305,1656092.0,,,Minimum Salary,Spencer Dinwiddie,BRK
Joe Harris,1524305,,,,Minimum Salary,Joe Harris,BRK
Shane Larkin,1524305,,,,Minimum Salary,Shane Larkin,BOS
Glenn Robinson,1524305,,,,,Glenn Robinson,IND
Bobby Brown,1524305,,,,,Bobby Brown,HOU
Bobby Portis,1516320,2494346.0,,,1st Round pick,Bobby Portis,CHI
Malachi Richardson,1504560,1569360.0,2581597.0,,1st Round pick,Malachi Richardson,TOR
Arron Afflalo,1500000,,,,,Arron Afflalo,SAC
Nikola Jokic,1471382,,,,,Nikola Jokic,DEN
Norman Powell,1471382,9367200.0,10116576.0,10865952.0,Cap Space,Norman Powell,TOR
Josh Richardson,1471382,9300000.0,10100000.0,10800000.0,Minimum Salary,Josh Richardson,MIA
Rondae Hollis-Jefferson,1471382,2470357.0,,,1st Round pick,Rondae Hollis-Jefferson,BRK
Tyus Jones,1471382,2444053.0,,,1st Round pick,Tyus Jones,MIN
Jarell Martin,1471382,2416222.0,,,1st Round pick,Jarell Martin,MEM
Larry Nance,1471382,2272391.0,,,1st Round pick,Larry Nance,CLE
Raul Neto,1471382,,,,,Raul Neto,UTA
Kevon Looney,1471382,,,,1st Round pick,Kevon Looney,GSW
Troy Williams,1471382,1544951.0,1676735.0,,,Troy Williams,HOU
Chris McCullough,1471382,,,,1st Round pick,Chris McCullough,WAS
Pat Connaughton,1471382,,,,Minimum Salary,Pat Connaughton,POR
Richaun Holmes,1471382,1600520.0,,,Cap Space,Richaun Holmes,PHI
T.J. McConnell,1471382,1600520.0,,,Minimum Salary,T.J. McConnell,PHI
Josh Huestis,1471382,,,,,Josh Huestis,OKC
Jordan Mickey,1471382,,,,Minimum Salary,Jordan Mickey,MIA
Montrezl Harrell,1471382,,,,,Montrezl Harrell,LAC
Joe Young,1471382,,,,Cap Space,Joe Young,IND
Salah Mejri,1471382,,,,Minimum Salary,Salah Mejri,DAL
Caleb Swanigan,1465920,1740000.0,2033160.0,3665787.0,1st Round Pick,Caleb Swanigan,POR
Furkan Korkmaz,1465920,1740000.0,2033160.0,3665787.0,1st Round Pick,Furkan Korkmaz,PHI
Willy Hernangomez,1435750,1544951.0,1701735.0,,Cap Space,Willy Hernangomez,CHO
Kyle Kuzma,1423560,1689840.0,1974600.0,3562178.0,1st Round Pick,Kyle Kuzma,LAL
Tony Bradley,1414920,1679520.0,1962360.0,3542060.0,1st Round Pick,Tony Bradley,UTA
Derrick White,1404600,1667160.0,1948080.0,3516284.0,1st Round Pick,Derrick White,SAS
Josh Hart,1394520,1655160.0,1934160.0,3491159.0,1st Round Pick,Josh Hart,LAL
Timothe Luwawu-Cabarrot,1386600,1544951.0,2529684.0,,1st Round pick,Timothe Luwawu-Cabarrot,PHI
Kevin Martin,1360305,1360305.0,,,,Kevin Martin,MIN
Brice Johnson,1331160,,,,,Brice Johnson,MEM
Fred VanVleet,1312611,,,,Minimum Salary,Fred VanVleet,TOR
Pascal Siakam,1312611,1544951.0,2351839.0,,1st Round pick,Pascal Siakam,TOR
Dejounte Murray,1312611,1544951.0,2321735.0,,1st Round pick,Dejounte Murray,SAS
Skal Labissiere,1312611,1544951.0,2338847.0,,1st Round pick,Skal Labissiere,SAC
Malcolm Brogdon,1312611,1544951.0,,,Cap Space,Malcolm Brogdon,MIL
A.J. Hammons,1312611,1544951.0,,,,A.J. Hammons,MIA
Rodney McGruder,1312611,1544951.0,,,Minimum Salary,Rodney McGruder,MIA
Deyonta Davis,1312611,1544951.0,,,Cap Space,Deyonta Davis,MEM
Wayne Selden,1312611,1544951.0,,,,Wayne Selden,MEM
Ivica Zubac,1312611,1544951.0,,,Cap Space,Ivica Zubac,LAL
Chinanu Onuaku,1312611,1544951.0,,,Minimum Salary,Chinanu Onuaku,HOU
Damian Jones,1312611,1544951.0,2305057.0,,1st Round pick,Damian Jones,GSW
Cheick Diallo,1312611,1544951.0,,,Minimum Salary,Cheick Diallo,NOP
Joel Bolomboy,1312611,,,,,Joel Bolomboy,UTA
Davis Bertans,1312611,,,,Minimum Salary,Davis Bertans,SAS
Bryn Forbes,1312611,,,,Minimum Salary,Bryn Forbes,SAS
Jake Layman,1312611,1544951.0,,,Cap Space,Jake Layman,POR
Tyler Ulis,1312611,1544951.0,1676735.0,,Cap Space,Tyler Ulis,PHO
Marcus Georges-Hunt,1312611,,,,Minimum Salary,Marcus Georges-Hunt,MIN
Andrew Harrison,1312611,1544951.0,,,Cap Space,Andrew Harrison,MEM
Patrick McCaw,1312611,,,,Minimum Salary,Patrick McCaw,GSW
Yogi Ferrell,1312611,,,,Minimum Salary,Yogi Ferrell,DAL
Dorian Finney-Smith,1312611,1544951.0,,,Minimum Salary,Dorian Finney-Smith,DAL
Treveon Graham,1312611,,,,Minimum Salary,Treveon Graham,CHO
Paul Zipser,1312611,1544951.0,1676735.0,,Cap Space,Paul Zipser,CHI
David Nwaba,1312611,,,,Minimum Salary,David Nwaba,CHI
Isaiah Whitehead,1312611,1544951.0,1676735.0,,Cap Space,Isaiah Whitehead,BRK
Sheldon Mac,1312611,,,,,Sheldon Mac,ATL
Okaro White,1312611,,,,,Okaro White,ATL
Nicolas Brussino,1312611,,,,,Nicolas Brussino,ATL
Diamond Stone,1312611,,,,,Diamond Stone,ATL
Isaiah Taylor,1312611,1544951.0,,,Minimum Salary,Isaiah Taylor,ATL
Kay Felder,1312611,1544951.0,,,,Kay Felder,CHI
Derrick Jones,1312611,,,,,Derrick Jones,PHO
Chasson Randle,1312611,,,,,Chasson Randle,NYK
Stephen Zimmerman,1312611,,,,,Stephen Zimmerman,LAL
Semi Ojeleye,1291892,1378242.0,1618520.0,1752950.0,,Semi Ojeleye,BOS
Frank Mason,1184385,1378242.0,1618520.0,,,Frank Mason,SAC
Abdel Nader,1167333,1378242.0,1618520.0,1752950.0,,Abdel Nader,BOS
Damyean Dotson,1100000,1378242.0,1618520.0,,Minimum Salary,Damyean Dotson,NYK
Paul Pierce,1096080,,,,,Paul Pierce,LAC
Isaiah Canaan,1069308,,,,,Isaiah Canaan,PHO
Wesley Iwundu,1050000,1378242.0,1618520.0,,,Wesley Iwundu,ORL
Livio Jean-Charles,1035200,,,,,Livio Jean-Charles,SAS
Justin Hamilton,1000000,1000000.0,1000000.0,,,Justin Hamilton,TOR
Gerald Henderson,1000000,,,,,Gerald Henderson,PHI
Rade Zagorac,950000,1378242.0,,,,Rade Zagorac,MEM
Ivan Rabb,950000,1378242.0,1618520.0,,MLE,Ivan Rabb,MEM
Ike Anigbogu,950000,1378242.0,1618520.0,,Cap space,Ike Anigbogu,IND
Gerald Green,947248,,,,Minimum Salary,Gerald Green,HOU
Jason Thompson,945126,945126.0,,,,Jason Thompson,GSW
Martell Webster,830000,830000.0,,,,Martell Webster,WAS
Frank Jackson,815615,1378242.0,1618520.0,,MLE,Frank Jackson,NOP
Jordan Bell,815615,1378252.0,,,Minimum Salary,Jordan Bell,GSW
Khem Birch,815615,1378242.0,,,Minimum Salary,Khem Birch,ORL
Dakari Johnson,815615,1378242.0,,,,Dakari Johnson,OKC
Sterling Brown,815615,1378242.0,1618520.0,,MLE,Sterling Brown,MIL
Dillon Brooks,815615,1378242.0,1618520.0,,MLE,Dillon Brooks,MEM
Sindarius Thornwell,815615,1378242.0,1618520.0,,MLE,Sindarius Thornwell,LAC
Jawun Evans,815615,1378242.0,1618520.0,,MLE,Jawun Evans,LAC
Dwayne Bacon,815615,1378242.0,1618520.0,,MLE,Dwayne Bacon,CHO
Daniel Theis,815615,1378242.0,,,Minimum Salary,Daniel Theis,BOS
Tyler Dorsey,815615,1378242.0,,,Minimum Salary,Tyler Dorsey,ATL
Davon Reed,815615,1378242.0,1618520.0,,Minimum Salary,Davon Reed,PHO
Royce O'Neale,815615,1378242.0,1618520.0,,Cap space,Royce O'Neale,UTA
Alfonzo McKinnie,815615,1378242.0,,,Minimum Salary,Alfonzo McKinnie,TOR
Brandon Paul,815615,1378242.0,,,Minimum Salary,Brandon Paul,SAS
Zhou Qi,815615,1378242.0,1618520.0,1752950.0,MLE,Zhou Qi,HOU
Maxi Kleber,815615,1378242.0,,,Minimum Salary,Maxi Kleber,DAL
Sean Kilpatrick,789725,,,,,Sean Kilpatrick,MIL
Trey Burke,784160,1795015.0,,,Minimum Salary,Trey Burke,NYK
Alex Poythress,778668,1544951.0,,,Two-Way Converted,Alex Poythress,IND
Marco Belinelli,776217,,,,,Marco Belinelli,PHI
Joe Johnson,749905,,,,,Joe Johnson,HOU
Dwight Buycks,748160,,,,Two-Way Converted,Dwight Buycks,DET
Tyler Cavanaugh,679919,1378242.0,,,,Tyler Cavanaugh,ATL
Carlos Delfino,650000,650000.0,,,,Carlos Delfino,LAC
Caron Butler,517220,517220.0,,,,Caron Butler,SAC
Jordan Farmar,510921,,,,,Jordan Farmar,LAC
Ersan Ilyasova,502328,,,,,Ersan Ilyasova,PHI
Leandro Barbosa,500000,,,,,Leandro Barbosa,PHO
Tibor Pleiss,500000,,,,,Tibor Pleiss,PHI
Michael Gbinije,500000,,,,,Michael Gbinije,DET
Aaron Gray,452059,,,,,Aaron Gray,DET
Festus Ezeli,333334,333333.0,333333.0,,,Festus Ezeli,POR
C.J. Watson,333334,333333.0,333333.0,,,C.J. Watson,ORL
Gal Mekel,315760,,,,,Gal Mekel,DAL
Miroslav Raduljica,300000,300000.0,,,,Miroslav Raduljica,LAC
Cameron Oliver,300000,,,,,Cameron Oliver,HOU
Ramon Sessions,263124,,,,,Ramon Sessions,WAS
Jordan Crawford,250000,,,,,Jordan Crawford,NOP
Emeka Okafor,239204,,,,,Emeka Okafor,NOP
Brandon Jennings,238020,,,,,Brandon Jennings,MIL
Wade Baldwin,222476,1544951.0,,,,Wade Baldwin,POR
Isaiah Canaan,200000,,,,,Isaiah Canaan,CHI
Rakeem Christmas,172552,,,,,Rakeem Christmas,IND
DeAndre Liggins,172238,,,,,DeAndre Liggins,NOP
Sean Kilpatrick,172238,,,,,Sean Kilpatrick,LAC
Rashad Vaughn,166258,,,,,Rashad Vaughn,ORL
David Stockton,148318,,,,,David Stockton,UTA
Troy Williams,148318,,,,,Troy Williams,NYK
Larry Drew,148318,,,,,Larry Drew,NOP
Travis Wear,148318,,,,,Travis Wear,LAL
Carrick Felix,140902,,,,,Carrick Felix,WAS
Brandon Rush,119602,,,,,Brandon Rush,POR
Jeremy Evans,104059,,,,,Jeremy Evans,ATL
Derrick Williams,104059,,,,,Derrick Williams,LAL
K.J. McDaniels,100000,,,,,K.J. McDaniels,TOR
Marshall Plumlee,100000,,,,,Marshall Plumlee,NYK
Georges Niang,100000,,,,,Georges Niang,IND
Quinn Cook,100000,,,,,Quinn Cook,ATL
Demetrius Jackson,92858,92857.0,92857.0,92857.0,,Demetrius Jackson,BOS
Kyle Collinsworth,92160,,,,,Kyle Collinsworth,DAL
Josh Gray,92160,,,,,Josh Gray,PHO
Naz Mitrou-Long,92160,,,,,Naz Mitrou-Long,UTA
Nigel Hayes,92160,,,,,Nigel Hayes,TOR
Shaquille Harrison,92160,,,,,Shaquille Harrison,PHO
Rodney Purvis,92160,,,,,Rodney Purvis,ORL
"Walt Lemon, Jr.",92160,,,,,"Walt Lemon, Jr.",NOP
Antonius Cleveland,92160,,,,,Antonius Cleveland,ATL
Damion Lee,92160,,,,,Damion Lee,ATL
Jaylen Morris,92160,,,,,Jaylen Morris,ATL
Mike James,87552,,,,,Mike James,PHO
MarShon Brooks,86119,,,,,MarShon Brooks,MEM
Jarell Eddie,83129,,,,,Jarell Eddie,BOS
Jarell Eddie,83129,,,,,Jarell Eddie,CHI
Briante Weber,83129,,,,,Briante Weber,MEM
Marquis Teague,83129,,,,,Marquis Teague,MEM
Aaron Harrison,83129,,,,,Aaron Harrison,DAL
Demetrius Jackson,74159,,,,,Demetrius Jackson,HOU
Georgios Papagiannis,74159,,,,,Georgios Papagiannis,POR
Scotty Hopson,74159,,,,,Scotty Hopson,DAL
Okaro White,74159,,,,,Okaro White,CLE
Xavier Silas,74159,,,,,Xavier Silas,BOS
Isaiah Canaan,53465,,,,,Isaiah Canaan,HOU
Tyler Cavanaugh,50000,,,,,Tyler Cavanaugh,ATL
Kyle Collinsworth,50000,,,,,Kyle Collinsworth,DAL
Demetrius Jackson,50000,,,,,Demetrius Jackson,HOU
Daniel Ochefu,50000,,,,,Daniel Ochefu,WAS
Michael Young,50000,,,,,Michael Young,WAS
Eric Griffin,50000,,,,,Eric Griffin,UTA
Nate Wolters,50000,,,,,Nate Wolters,UTA
Naz Mitrou-Long,50000,,,,,Naz Mitrou-Long,UTA
James Michael McAdoo,50000,,,,,James Michael McAdoo,PHI
Jacob Pullen,50000,,,,,Jacob Pullen,PHI
Nigel Hayes,50000,,,,,Nigel Hayes,NYK
Jalen Moore,50000,,,,,Jalen Moore,MIL
Gary Payton,50000,,,,,Gary Payton,MIL
Matt Williams,50000,,,,,Matt Williams,MIA
Vince Hunter,50000,,,,,Vince Hunter,MEM
V.J. Beachem,50000,,,,,V.J. Beachem,LAL
Briante Weber,50000,,,,,Briante Weber,LAL
Vander Blue,50000,,,,,Vander Blue,LAL
Jamil Wilson,50000,,,,,Jamil Wilson,LAC
Briante Weber,50000,,,,,Briante Weber,HOU
Luis Montero,50000,,,,,Luis Montero,DET
Antonius Cleveland,50000,,,,,Antonius Cleveland,DAL
Gian Clavell,50000,,,,,Gian Clavell,DAL
Diamond Stone,50000,,,,,Diamond Stone,CHI
Yakuba Ouattara,50000,,,,,Yakuba Ouattara,BRK
Jeremy Evans,50000,,,,,Jeremy Evans,ATL
Nigel Hayes,46080,,,,,Nigel Hayes,LAL
Xavier Rathan-Mayes,46080,,,,,Xavier Rathan-Mayes,MEM
Trey McKinney-Jones,46080,,,,,Trey McKinney-Jones,IND
Le'Bryan Nash,46080,,,,,Le'Bryan Nash,HOU
Jameel Warney,46080,,,,,Jameel Warney,DAL
Marcus Thornton,46080,,,,,Marcus Thornton,CLE
DeAndre Liggins,26773,,,,,DeAndre Liggins,ATL
Axel Toupane,25000,,,,,Axel Toupane,NOP
Quinn Cook,25000,,,,,Quinn Cook,NOP
Chris Johnson,25000,,,,,Chris Johnson,HOU
Beno Udrih,25000,,,,,Beno Udrih,DET
Joel Bolomboy,22248,,,,,Joel Bolomboy,MIL
Jarell Eddie,17224,,,,,Jarell Eddie,CHI
