,2017-2018 Contract,2018-2019 Contract,2019-2020 Contract,2020-2021 Contract,2021-2022 Contract,2022-2023 Contract,Contract Type,Name,Remaining Guaranteed,Team
0,"$34,682,550","$37,457,154","$40,231,758","$43,006,362","$45,780,966",,Bird Rights,Stephen Curry,"$201,158,790",GSW
1,"$33,285,709","$35,607,968",,,,,Early Bird,LeBron James,"$33,285,709",CLE
2,"$31,269,231","$29,730,769","$30,500,000",,,,Cap space,Paul Millsap,"$61,000,000",DEN
3,"$29,727,900","$31,214,295","$32,700,690","$34,187,085",,,Cap space,Gordon Hayward,"$93,642,885",BOS
4,"$29,512,900","$31,873,932","$34,234,964","$36,595,996","$38,957,028",,Bird Rights,Blake Griffin,"$132,217,792",DET
5,"$28,703,704","$31,000,000","$33,296,296",,,,Bird Rights,Kyle Lowry,"$93,000,000",TOR
6,"$28,530,608","$35,350,000","$38,178,000","$41,006,000","$43,848,000",,Bird Rights,Russell Westbrook,"$186,912,608",OKC
7,"$28,530,608","$30,521,115","$32,511,623","$34,504,132",,,Cap Space,Mike Conley,"$113,989,729",MEM
8,"$28,299,399","$30,431,854","$37,800,000","$40,824,000","$43,848,000",,Bird Rights,James Harden,"$181,203,253",HOU
9,"$27,739,975","$27,739,975","$27,739,975","$27,739,975",,,Cap Space,DeMar DeRozan,"$83,219,925",TOR
10,"$27,734,405","$28,928,710","$30,123,015",,,,Cap Space,Al Horford,"$56,663,115",BOS
11,"$26,243,760","$27,928,140",,,,,Bird Rights,Carmelo Anthony,"$26,243,760",OKC
12,"$26,153,057","$27,977,689","$29,802,321","$31,626,953",,,1st Round Pick,Damian Lillard,"$115,560,020",POR
13,"$25,686,667","$26,131,111","$26,131,111","$26,131,111","$27,020,000",,Bird Rights,Jrue Holiday,"$104,080,000",NOP
14,"$25,289,390","$26,837,720",,,,,,Chris Bosh,"$52,127,110",MIA
15,"$25,000,000",,,,,,Non-Bird Rights,Kevin Durant,"$25,000,000",GSW
16,"$24,773,250","$26,011,913","$27,250,576","$28,489,239",,,Bird Rights,Otto Porter,"$78,035,739",WAS
17,"$24,599,495",,,,,,Bird Rights,Chris Paul,"$24,599,495",HOU
18,"$23,962,573","$25,759,766","$27,556,959","$29,354,152",,,1st Round Pick,C.J. McCollum,"$106,633,450",POR
19,"$23,775,506","$25,434,263","$27,093,019","$28,751,775",,,Cap Space,Bradley Beal,"$105,054,563",WAS
20,"$23,775,506","$25,434,263","$27,093,019","$28,751,775",,,1st Round Pick,Anthony Davis,"$76,302,788",NOP
21,"$23,775,506","$25,434,263","$27,093,019","$28,751,775",,,Cap Space,Andre Drummond,"$76,302,788",DET
22,"$23,775,506","$25,434,263","$27,093,018",,,,Cap Space,Hassan Whiteside,"$49,209,769",MIA
23,"$23,500,000","$23,819,725",,,,,Cap Space,Dwight Howard,"$47,319,725",CHO
24,"$23,112,004","$24,107,258","$25,102,511",,,,Cap Space,Chandler Parsons,"$72,321,773",MEM
25,"$23,112,004","$24,107,258","$25,102,512",,,,Cap Space,Harrison Barnes,"$47,219,262",DAL
26,"$23,000,000",,,,,,Cap space,J.J. Redick,"$23,000,000",PHI
27,"$22,642,350","$24,119,025","$25,595,700",,,,Bird Rights,Marc Gasol,"$46,761,375",MEM
28,"$22,642,350","$24,119,025","$25,595,700",,,,Bird Rights,Kevin Love,"$46,761,375",CLE
29,"$22,642,350",,,,,,Bird Rights,Brook Lopez,"$22,642,350",LAL
30,"$22,642,350","$24,119,025",,,,,Bird Rights,DeAndre Jordan,"$22,642,350",LAC
31,"$22,471,910","$24,157,303","$25,842,697","$27,528,090",,,1st Round Pick,Steven Adams,"$100,000,000",OKC
32,"$22,471,910","$24,157,303","$25,842,697","$27,528,090",,,1st Round Pick,Giannis Antetokounmpo,"$100,000,000",MIL
33,"$22,434,783","$24,000,000","$25,565,217","$27,130,434",,,Cap Space,Nicolas Batum,"$72,000,000",CHO
34,"$21,974,719","$23,491,573","$25,008,427","$26,525,281",,,1st Round Pick,Rudy Gobert,"$97,000,000",UTA
35,"$21,461,010","$22,347,015","$26,000,000","$24,000,000",,,Cap Space,LaMarcus Aldridge,"$76,808,025",SAS
36,"$21,000,000","$21,000,000","$21,000,000","$21,000,000",,,1st Round Pick,Victor Oladipo,"$84,000,000",IND
37,"$20,566,802","$18,622,514",,,,,Bird Rights,Enes Kanter,"$20,566,802",NYK
38,"$20,559,599","$21,587,579","$22,615,559",,,,Sign and Trade,Danilo Gallinari,"$64,762,737",LAC
39,"$20,061,729","$21,666,667","$23,271,604",,,,Cap space,Serge Ibaka,"$65,000,000",TOR
40,"$20,000,000","$19,000,000","$18,000,000",,,,Cap space,George Hill,"$40,000,000",CLE
41,"$19,578,455","$20,421,546","$21,264,635",,,,Cap Space,Ryan Anderson,"$61,264,636",HOU
42,"$19,508,958","$20,703,384",,,,,1st Round Pick,Paul George,"$19,508,958",OKC
43,"$19,332,500","$18,500,000","$18,500,000",,,,Cap Space,Allen Crabbe,"$37,832,500",BRK
44,"$19,301,070","$20,445,779","$19,841,627",,,,Bird Rights,Jimmy Butler,"$39,746,849",MIN
45,"$19,000,000","$19,000,000","$19,000,000",,,,Cap space,Jeff Teague,"$38,000,000",MIN
46,"$18,868,625","$20,099,189","$21,329,752",,,,Bird Rights,Kawhi Leonard,"$38,967,814",SAS
47,"$18,868,625","$20,099,188","$21,329,750",,,,Bird Rights,Kyrie Irving,"$38,967,813",BOS
48,"$18,063,850","$19,169,800","$37,800,000","$40,824,000","$43,848,000",,Bird Rights,John Wall,"$159,705,650",WAS
49,"$18,063,850",,,,,,1st Round Pick,DeMarcus Cousins,"$18,063,850",NOP
50,"$17,884,176","$18,622,514",,,,,Cap Space,Wesley Matthews,"$36,506,690",DAL
51,"$17,884,176",,,,,,,Greg Monroe,"$17,884,176",PHO
52,"$17,826,150","$18,988,725",,,,,1st Round Pick,Klay Thompson,"$36,814,875",GSW
53,"$17,765,000","$18,530,000","$19,295,000",,,,Cap Space,Joakim Noah,"$55,590,000",NYK
54,"$17,745,894",,,,,,Cap space,Kentavious Caldwell-Pope,"$17,745,894",LAL
55,"$17,190,000","$18,000,000","$18,810,000",,,,Cap Space,Luol Deng,"$54,000,000",LAL
56,"$17,131,148","$17,868,852","$18,606,557",,,,Cap Space,Evan Turner,"$53,606,557",POR
57,"$17,000,450","$18,109,175","$19,217,900",,,,Bird Rights,Goran Dragic,"$35,109,625",MIA
58,"$17,000,000","$17,000,000","$17,000,000","$17,000,000",,,Cap Space,Evan Fournier,"$51,000,000",ORL
59,"$17,000,000","$17,000,000","$17,000,000",,,,Cap Space,Bismack Biyombo,"$34,000,000",ORL
60,"$16,910,113","$18,089,887","$19,269,662",,,,Cap Space,Kent Bazemore,"$35,000,000",ATL
61,"$16,698,103","$10,464,092","$11,301,219","$12,138,345","$12,975,471",,Cap Space,Robert Covington,"$63,577,230",PHI
62,"$16,661,641","$15,944,154","$15,450,051",,,,Cap Space,Ian Mahinmi,"$48,055,846",WAS
63,"$16,500,000","$17,325,000","$18,150,000","$18,975,000",,,Cap space,Tim Hardaway,"$51,975,000",NYK
64,"$16,400,000","$17,469,565","$18,539,130",,,,Bird Rights,Draymond Green,"$52,408,695",GSW
65,"$16,400,000","$17,469,565","$18,539,130",,,,Bird Rights,Tristan Thompson,"$52,408,695",CLE
66,"$16,000,000","$17,043,478","$18,086,956",,,,Bird Rights,Reggie Jackson,"$51,130,434",DET
67,"$16,000,000","$16,000,000","$16,000,000",,,,,Pau Gasol,"$38,700,000",SAS
68,"$16,000,000","$14,800,000",,,,,Bird Rights,Tobias Harris,"$30,800,000",LAC
69,"$15,550,000",,,,,,,Dwyane Wade,"$15,550,000",CHI
70,"$15,500,000","$15,500,000","$15,500,000","$15,500,000",,,1st Round Pick,Dennis Schroder,"$62,000,000",ATL
71,"$15,460,675","$16,539,326","$17,617,977",,,,1st Round Pick,Jonas Valanciunas,"$32,000,001",TOR
72,"$15,453,126",,,,,,Bird Rights,Tony Parker,"$15,453,126",SAS
73,"$15,280,000","$16,000,000","$16,720,000",,,,Cap Space,Timofey Mozgov,"$48,000,000",BRK
74,"$14,814,815","$16,000,000","$17,185,185",,,,Bird Rights,Andre Iguodala,"$48,000,000",GSW
75,"$14,800,000","$15,400,000",,,,,Cap Space,DeMarre Carroll,"$30,200,000",BRK
76,"$14,796,348","$13,764,045",,,,,Bird Rights,Thaddeus Young,"$14,796,348",IND
77,"$14,500,000","$15,000,000",,,,,Bird Rights,Eric Bledsoe,"$29,500,000",MIL
78,"$14,275,000","$14,975,000",,,,,1st Round Pick,Ricky Rubio,"$29,250,000",UTA
79,"$14,136,364","$13,045,455","$11,954,546","$10,863,637",,,Bird Rights,Joe Ingles,"$50,000,002",UTA
80,"$14,112,360","$15,170,787","$16,229,213","$17,287,640",,,1st Round Pick,Gorgui Dieng,"$62,800,000",MIN
81,"$14,100,000","$13,000,000","$13,000,000",,,,Bird Rights,Khris Middleton,"$27,100,000",MIL
82,"$14,041,096","$12,917,808","$14,041,096",,,,Cap space,Mason Plumlee,"$41,000,000",DEN
83,"$14,000,000","$14,000,000",,,,,Cap space,Taj Gibson,"$28,000,000",MIN
84,"$13,954,000","$14,651,700","$15,349,400",,,,Cap space,James Johnson,"$43,955,100",MIA
85,"$13,788,500","$14,357,750",,,,,Cap Space,Robin Lopez,"$28,146,250",CHI
86,"$13,760,000","$14,720,000","$15,680,000",,,,Bird Rights,J.R. Smith,"$32,350,000",CLE
87,"$13,618,750","$14,631,250","$15,643,750",,,,,Brandon Knight,"$43,893,750",PHO
88,"$13,168,750","$14,087,500","$15,006,250",,,,Cap Space,Marvin Williams,"$27,256,250",CHO
89,"$13,000,000","$13,585,000",,,,,Cap Space,Tyson Chandler,"$26,585,000",PHO
90,"$13,000,000","$13,000,000","$13,000,000",,,,1st Round Pick,Michael Kidd-Gilchrist,"$26,000,000",CHO
91,"$12,943,020","$13,500,375","$14,057,730",,,,Cap Space,Eric Gordon,"$40,501,125",HOU
92,"$12,921,348","$13,764,045",,,,,1st Round Pick,Kenneth Faried,"$26,685,393",DEN
93,"$12,782,609","$13,565,218",,,,,Bird Rights,Marcin Gortat,"$26,347,827",WAS
94,"$12,584,270","$13,528,090","$14,471,910","$15,415,730",,,1st Round Pick,Cody Zeller,"$56,000,000",CHO
95,"$12,500,000","$12,500,000","$12,500,000",,,,Bird Rights,Miles Plumlee,"$37,500,000",ATL
96,"$12,500,000","$12,500,000",,,,,Cap space,Nikola Mirotic,"$25,000,000",NOP
97,"$12,307,692","$11,692,308",,,,,Cap space,Zach Randolph,"$24,000,000",SAC
98,"$12,250,000","$12,750,000",,,,,Bird Rights,Nikola Vucevic,"$25,000,000",ORL
99,"$12,236,535","$12,752,928","$13,258,781",,,,Cap Space,Solomon Hill,"$38,248,244",NOP
100,"$12,016,854","$12,800,562",,,,,,Wilson Chandler,"$12,016,854",DEN
101,"$12,000,000","$12,516,746",,,,,Cap Space,Jeremy Lin,"$24,516,746",BRK
102,"$12,000,000","$12,000,000",,,,,1st Round Pick,Kemba Walker,"$24,000,000",CHO
103,"$12,000,000",,,,,,1st Round Pick,Derrick Favors,"$12,000,000",UTA
104,"$11,825,000","$12,650,000",,,,,Cap Space,Austin Rivers,"$11,825,000",LAC
105,"$11,747,890","$12,253,780","$12,759,670",,,,Cap Space,Courtney Lee,"$36,761,340",NYK
106,"$11,600,000",,,,,,,Nikola Pekovic,"$11,600,000",MIN
107,"$11,562,500","$12,500,000","$13,437,500",,,,Cap Space,Jordan Clarkson,"$37,500,000",CLE
108,"$11,422,536","$10,577,466","$9,732,396",,,,1st Round Pick,John Henson,"$31,732,398",MIL
109,"$11,000,000","$11,550,000","$12,100,000","$12,650,000",,,Cap space,Dion Waiters,"$47,300,000",MIA
110,"$11,000,000",,,,,,Cap space,Amir Johnson,"$11,000,000",PHI
111,"$10,942,762","$2,304,226",,,,,,Jamal Crawford,"$13,246,988",ATL
112,"$10,845,506","$11,536,515",,,,,1st Round Pick,Alec Burks,"$22,382,021",UTA
113,"$10,714,286","$11,571,429","$12,428,571","$13,285,714",,,Bird Rights,Patty Mills,"$48,000,000",SAS
114,"$10,607,169","$11,137,527","$11,667,885","$12,198,243",,,Cap space,Kelly Olynyk,"$33,412,581",MIA
115,"$10,595,505","$11,286,516","$11,977,527",,,,Bird Rights,Omer Asik,"$24,882,021",CHI
116,"$10,500,000","$10,500,000",,,,,Rookie scale extension,Terrence Ross,"$21,000,000",ORL
117,"$10,500,000","$10,500,000",,,,,,Mirza Teletovic,"$21,000,000",MIL
118,"$10,500,000","$10,500,000",,,,,Cap space,Bojan Bogdanovic,"$12,000,000",IND
119,"$10,497,319","$10,002,681","$9,508,043",,,,Cap Space,Jon Leuer,"$30,008,043",DET
120,"$10,337,079","$11,011,234",,,,,Bird Rights,Iman Shumpert,"$21,348,313",SAC
121,"$10,162,922","$10,837,079","$11,511,234",,,,Cap Space,Maurice Harkless,"$32,511,235",POR
122,"$10,000,000","$9,530,000",,,,,Cap Space,Jared Dudley,"$19,530,000",PHO
123,"$10,000,000","$10,000,000",,,,,Cap space,Darren Collison,"$12,000,000",IND
124,"$10,000,000","$10,000,000",,,,,Bird Rights,Danny Green,"$10,000,000",SAS
125,"$9,904,495","$10,595,506","$11,286,515",,,,Cap Space,Meyers Leonard,"$31,786,516",POR
126,"$9,821,429","$10,607,143","$11,392,857","$12,178,571",,,Cap space,Tony Snell,"$31,821,429",MIL
127,"$9,769,821","$10,000,000",,,,,Cap Space,Al Jefferson,"$13,769,821",IND
128,"$9,607,500","$9,607,500","$9,607,500",,,,Cap Space,Matthew Dellavedova,"$28,822,500",MIL
129,"$9,505,000",,,,,,,Joe Johnson,"$9,505,000",SAC
130,"$9,470,614","$9,000,000","$8,529,386",,,,Cap space,Bogdan Bogdanovic,"$27,000,000",SAC
131,"$9,259,259","$10,000,000","$10,740,741",,,,Bird Rights,Andre Roberson,"$30,000,000",OKC
132,"$9,125,000",,,,,,,Trevor Booker,"$9,125,000",PHI
133,"$9,003,125","$9,631,250","$10,259,375",,,,Cap Space,Dwight Powell,"$18,634,375",DAL
134,"$9,000,000","$8,575,916",,,,,Cap Space,Jerryd Bayless,"$17,575,916",PHI
135,"$8,808,989",,,,,,Bird Rights,Avery Bradley,"$8,808,989",LAC
136,"$8,533,333","$7,866,667",,,,,Bird Rights,JaMychal Green,"$16,400,000",MEM
137,"$8,445,024","$8,808,685","$8,664,928",,,,Cap Space,E'Twaun Moore,"$25,918,637",NOP
138,"$8,406,000","$8,826,300",,,,,MLE,Rudy Gay,"$8,406,000",SAS
139,"$8,393,000","$8,739,500",,,,,Cap Space,Kosta Koufos,"$17,132,500",SAC
140,"$8,000,000","$8,600,000",,,,,Bird Rights,Markieff Morris,"$16,600,000",WAS
141,"$8,000,000",,,,,,Cap space,Vince Carter,"$8,000,000",SAC
142,"$8,000,000","$8,000,000",,,,,Cap Space,Garrett Temple,"$8,000,000",SAC
143,"$7,936,509","$8,333,333","$8,730,158",,,,MLE,C.J. Miles,"$16,269,842",TOR
144,"$7,843,500","$8,470,980","$8,156,500","$7,529,020",,,Cap space,Cristiano Felicio,"$32,000,000",CHI
145,"$7,692,308","$8,307,692","$7,692,308",,,,Bird Rights,Shaun Livingston,"$18,000,000",GSW
146,"$7,630,000","$7,945,000",,,,,Cap Space,Cory Joseph,"$15,575,000",IND
147,"$7,590,035","$7,969,537","$8,349,039","$7,969,537",,,MLE,P.J. Tucker,"$26,477,799",HOU
148,"$7,579,366",,,,,,,Corey Brewer,"$7,579,366",LAL
149,"$7,574,322","$25,250,000","$27,270,000","$29,290,000","$31,310,000",,1st Round Pick,Andrew Wiggins,"$154,024,322",MIN
150,"$7,464,912","$7,464,912",,,,,Cap Space,Darrell Arthur,"$14,929,824",DEN
151,"$7,420,912",,,,,,Cap Space,Channing Frye,"$7,420,912",LAL
152,"$7,420,912",,,,,,Bird Rights,Trevor Ariza,"$7,420,912",HOU
153,"$7,319,035","$6,957,105",,,,,Cap Space,Al-Farouq Aminu,"$14,276,140",POR
154,"$7,300,000","$6,956,021",,,,,Cap Space,Cole Aldrich,"$9,356,021",MIN
155,"$7,250,000","$7,250,000","$7,250,000",,,,Cap Space,D.J. Augustin,"$21,750,000",ORL
156,"$7,026,240","$8,339,880","$9,745,200","$12,288,697",,,1st Round Pick,Markelle Fultz,"$15,366,120",PHI
157,"$7,000,000","$8,000,000","$8,000,000","$1,500,000",,,Cap Space,Lou Williams,"$23,000,000",LAC
158,"$7,000,000","$7,560,000","$7,500,000",,,,Bird Rights,Kyle Korver,"$18,000,000",CLE
159,"$7,000,000","$7,488,372",,,,,Rookie scale extension,Jeremy Lamb,"$14,488,372",CHO
160,"$7,000,000","$7,000,000",,,,,Cap Space,Boban Marjanovic,"$14,000,000",LAC
161,"$6,796,117","$7,305,825","$7,815,533",,,,Bird Rights,Jae Crowder,"$21,917,475",UTA
162,"$6,782,392",,,,,,1st Round Pick,Jabari Parker,"$6,782,392",MIL
