,2017-2018 Contract,2018-2019 Contract,2019-2020 Contract,2020-2021 Contract,2021-2022 Contract,2022-2023 Contract,Contract Type,Name,Remaining Guaranteed,Team
351,"$1,662,500",,,,,,,Mike Dunleavy,"$1,662,500",ATL
352,"$1,645,200","$2,536,898",,,,,1st Round pick,Delon Wright,"$4,182,098",TOR
353,"$1,645,200","$1,952,760","$2,281,800","$3,872,215",,,1st Round Pick,OG Anunoby,"$3,597,960",TOR
354,"$1,645,200","$1,952,760","$2,281,800","$3,872,215",,,1st Round Pick,Ante Zizic,"$3,597,960",CLE
355,"$1,632,480","$1,702,800","$2,625,718",,,,1st Round pick,Caris LeVert,"$3,335,280",BRK
356,"$1,579,440","$2,516,048",,,,,1st Round pick,Justin Anderson,"$4,095,488",PHI
357,"$1,579,440","$1,874,640","$2,190,720",,,,1st Round Pick,Tyler Lydon,"$3,454,080",DEN
358,"$1,577,320","$1,795,015",,,,,,Jeff Withey,"$350,000",DAL
359,"$1,577,230",,,,,,Minimum Salary,Ian Clark,"$1,577,230",NOP
360,"$1,577,230","$1,795,015",,,,,,Shabazz Muhammad,"$1,577,230",MIN
361,"$1,577,230",,,,,,,Willie Reed,"$1,577,230",CHI
362,"$1,577,230",,,,,,,DeAndre Liggins,,MIL
363,"$1,567,200","$1,634,640","$2,603,982",,,,1st Round pick,DeAndre' Bembry,"$3,201,840",ATL
364,"$1,524,305","$1,656,092",,,,,,Joffrey Lauvergne,"$1,524,305",SAS
365,"$1,524,305",,,,,,Draft Pick,Jerami Grant,"$1,524,305",OKC
366,"$1,524,305",,,,,,,Johnny O'Bryant,"$1,524,305",NYK
367,"$1,524,305","$1,656,092",,,,,Minimum Salary,Tyler Ennis,"$1,524,305",LAL
368,"$1,524,305","$1,656,092",,,,,Minimum Salary,Julyan Stone,"$1,524,305",CHO
369,"$1,524,305",,,,,,,Sean Kilpatrick,"$1,524,305",BRK
370,"$1,524,305","$1,656,092",,,,,Minimum Salary,Spencer Dinwiddie,"$1,524,305",BRK
371,"$1,524,305",,,,,,Minimum Salary,Joe Harris,"$1,524,305",BRK
372,"$1,524,305",,,,,,Minimum Salary,Shane Larkin,"$1,524,305",BOS
373,"$1,524,305",,,,,,,Glenn Robinson,,IND
374,"$1,524,305",,,,,,,Bobby Brown,,HOU
375,"$1,516,320","$2,494,346",,,,,1st Round pick,Bobby Portis,"$4,010,666",CHI
376,"$1,504,560","$1,569,360","$2,581,597",,,,1st Round pick,Malachi Richardson,"$3,073,920",TOR
377,"$1,500,000",,,,,,,Arron Afflalo,"$1,500,000",SAC
378,"$1,471,382","$9,367,200","$10,116,576","$10,865,952","$11,615,328",,Cap Space,Norman Powell,"$31,821,110",TOR
379,"$1,471,382","$9,300,000","$10,100,000","$10,800,000","$11,600,000",,Minimum Salary,Josh Richardson,"$31,671,382",MIA
380,"$1,471,382","$2,470,357",,,,,1st Round pick,Rondae Hollis-Jefferson,"$3,941,739",BRK
381,"$1,471,382","$2,444,053",,,,,1st Round pick,Tyus Jones,"$3,915,435",MIN
382,"$1,471,382","$2,416,222",,,,,1st Round pick,Jarell Martin,"$3,887,604",MEM
383,"$1,471,382","$2,272,391",,,,,1st Round pick,Larry Nance,"$3,743,773",CLE
384,"$1,471,382","$1,600,520",,,,,Cap Space,Richaun Holmes,"$3,071,902",PHI
385,"$1,471,382","$1,600,520",,,,,Minimum Salary,T.J. McConnell,"$3,071,902",PHI
386,"$1,471,382","$1,544,951","$1,676,735",,,,,Troy Williams,"$2,085,087",HOU
387,"$1,471,382",,,,,,1st Round pick,Chris McCullough,"$1,471,382",WAS
388,"$1,471,382",,,,,,,Raul Neto,"$1,471,382",UTA
389,"$1,471,382",,,,,,Minimum Salary,Pat Connaughton,"$1,471,382",POR
390,"$1,471,382",,,,,,,Josh Huestis,"$1,471,382",OKC
391,"$1,471,382",,,,,,Minimum Salary,Jordan Mickey,"$1,471,382",MIA
392,"$1,471,382",,,,,,,Montrezl Harrell,"$1,471,382",LAC
393,"$1,471,382","$1,600,520",,,,,Cap Space,Joe Young,"$1,471,382",IND
394,"$1,471,382",,,,,,1st Round pick,Kevon Looney,"$1,471,382",GSW
395,"$1,471,382","$1,600,520",,,,,,Nikola Jokic,"$1,471,382",DEN
396,"$1,471,382",,,,,,Minimum Salary,Salah Mejri,"$1,471,382",DAL
397,"$1,465,920","$1,740,000","$2,033,160","$3,665,787",,,1st Round Pick,Caleb Swanigan,"$3,205,920",POR
398,"$1,465,920","$1,740,000","$2,033,160","$3,665,787",,,1st Round Pick,Furkan Korkmaz,"$3,205,920",PHI
399,"$1,435,750","$1,544,951","$1,701,735",,,,Cap Space,Willy Hernangomez,"$2,980,701",CHO
400,"$1,423,560","$1,689,840","$1,974,600","$3,562,178",,,1st Round Pick,Kyle Kuzma,"$3,113,400",LAL
401,"$1,414,920","$1,679,520","$1,962,360","$3,542,060",,,1st Round Pick,Tony Bradley,"$3,094,440",UTA
402,"$1,404,600","$1,667,160","$1,948,080","$3,516,284",,,1st Round Pick,Derrick White,"$3,071,760",SAS
403,"$1,394,520","$1,655,160","$1,934,160","$3,491,159",,,1st Round Pick,Josh Hart,"$3,049,680",LAL
404,"$1,386,600","$1,544,951","$2,529,684",,,,1st Round pick,Timothe Luwawu-Cabarrot,"$2,931,551",PHI
405,"$1,360,305","$1,360,305",,,,,,Kevin Martin,"$2,720,610",MIN
406,"$1,331,160",,,,,,,Brice Johnson,"$1,331,160",MEM
407,"$1,312,611","$1,544,951","$2,351,839",,,,1st Round pick,Pascal Siakam,"$2,857,562",TOR
408,"$1,312,611","$1,544,951","$2,321,735",,,,1st Round pick,Dejounte Murray,"$2,857,562",SAS
409,"$1,312,611","$1,544,951","$2,338,847",,,,1st Round pick,Skal Labissiere,"$2,857,562",SAC
410,"$1,312,611","$1,544,951",,,,,,A.J. Hammons,"$2,857,562",MIA
411,"$1,312,611","$1,544,951",,,,,Cap Space,Deyonta Davis,"$2,857,562",MEM
412,"$1,312,611","$1,544,951",,,,,Minimum Salary,Chinanu Onuaku,"$2,857,562",HOU
413,"$1,312,611","$1,544,951","$2,305,057",,,,1st Round pick,Damian Jones,"$2,857,562",GSW
414,"$1,312,611","$1,544,951",,,,,,Wayne Selden,"$2,085,087",MEM
415,"$1,312,611","$1,544,951",,,,,Minimum Salary,Cheick Diallo,"$1,812,611",NOP
416,"$1,312,611",,,,,,,Joel Bolomboy,"$1,312,611",UTA
417,"$1,312,611",,,,,,Minimum Salary,Davis Bertans,"$1,312,611",SAS
418,"$1,312,611",,,,,,Minimum Salary,Bryn Forbes,"$1,312,611",SAS
419,"$1,312,611","$1,544,951",,,,,Cap Space,Jake Layman,"$1,312,611",POR
420,"$1,312,611","$1,544,951","$1,676,735",,,,Cap Space,Tyler Ulis,"$1,312,611",PHO
421,"$1,312,611",,,,,,Minimum Salary,Marcus Georges-Hunt,"$1,312,611",MIN
422,"$1,312,611","$1,544,951",,,,,Cap Space,Malcolm Brogdon,"$1,312,611",MIL
423,"$1,312,611","$1,544,951",,,,,Minimum Salary,Rodney McGruder,"$1,312,611",MIA
424,"$1,312,611","$1,544,951",,,,,Cap Space,Andrew Harrison,"$1,312,611",MEM
425,"$1,312,611","$1,544,951",,,,,Cap Space,Ivica Zubac,"$1,312,611",LAL
426,"$1,312,611",,,,,,Minimum Salary,Patrick McCaw,"$1,312,611",GSW
427,"$1,312,611","$1,544,951",,,,,Minimum Salary,Dorian Finney-Smith,"$1,312,611",DAL
428,"$1,312,611",,,,,,Minimum Salary,Yogi Ferrell,"$1,312,611",DAL
429,"$1,312,611",,,,,,Minimum Salary,Treveon Graham,"$1,312,611",CHO
430,"$1,312,611","$1,544,951","$1,676,735",,,,Cap Space,Paul Zipser,"$1,312,611",CHI
431,"$1,312,611",,,,,,Minimum Salary,David Nwaba,"$1,312,611",CHI
432,"$1,312,611","$1,544,951","$1,676,735",,,,Cap Space,Isaiah Whitehead,"$1,312,611",BRK
433,"$1,312,611",,,,,,,Diamond Stone,"$1,312,611",ATL
434,"$1,312,611",,,,,,,Sheldon Mac,"$1,312,611",ATL
435,"$1,312,611",,,,,,,Okaro White,"$1,312,611",ATL
436,"$1,312,611",,,,,,,Nicolas Brussino,"$1,312,611",ATL
437,"$1,312,611","$1,544,951",,,,,Minimum Salary,Isaiah Taylor,"$1,312,611",ATL
438,"$1,312,611","$1,544,951",,,,,,Kay Felder,"$456,529",CHI
439,"$1,312,611",,,,,,,Fred VanVleet,,TOR
440,"$1,312,611",,,,,,,Derrick Jones,,PHO
441,"$1,312,611",,,,,,,Chasson Randle,,NYK
442,"$1,312,611",,,,,,,Stephen Zimmerman,,LAL
443,"$1,291,892","$1,378,242","$1,618,520","$1,752,950",,,,Semi Ojeleye,"$2,193,857",BOS
444,"$1,184,385","$1,378,242","$1,618,520",,,,,Frank Mason,"$2,562,627",SAC
445,"$1,167,333","$1,378,242","$1,618,520","$1,752,950",,,,Abdel Nader,"$1,617,333",BOS
446,"$1,100,000","$1,378,242","$1,618,520",,,,Minimum Salary,Damyean Dotson,"$2,478,242",NYK
447,"$1,096,080",,,,,,,Paul Pierce,"$1,096,080",LAC
448,"$1,069,308",,,,,,,Isaiah Canaan,"$1,069,308",PHO
449,"$1,050,000","$1,378,242","$1,618,520",,,,,Wesley Iwundu,"$2,428,242",ORL
450,"$1,035,200",,,,,,,Livio Jean-Charles,"$1,035,200",SAS
451,"$1,000,000","$1,000,000","$1,000,000",,,,,Justin Hamilton,"$3,000,000",TOR
452,"$1,000,000",,,,,,,Gerald Henderson,"$1,000,000",PHI
453,"$950,000","$1,378,242",,,,,,Rade Zagorac,"$2,328,242",MEM
454,"$950,000","$1,378,242","$1,618,520",,,,MLE,Ivan Rabb,"$2,328,242",MEM
455,"$950,000","$1,378,242","$1,618,520",,,,Cap space,Ike Anigbogu,"$1,640,000",IND
456,"$947,248",,,,,,Minimum Salary,Gerald Green,"$947,248",HOU
457,"$945,126","$945,126",,,,,,Jason Thompson,"$1,890,252",GSW
458,"$830,000","$830,000",,,,,,Martell Webster,"$1,660,000",WAS
459,"$815,615","$1,378,242","$1,618,520",,,,MLE,Frank Jackson,"$2,699,857",NOP
460,"$815,615","$1,378,252",,,,,Minimum Salary,Jordan Bell,"$2,193,867",GSW
461,"$815,615","$1,378,242",,,,,,Dakari Johnson,"$2,193,857",OKC
462,"$815,615","$1,378,242","$1,618,520",,,,MLE,Sterling Brown,"$2,193,857",MIL
463,"$815,615","$1,378,242","$1,618,520",,,,MLE,Dillon Brooks,"$2,193,857",MEM
464,"$815,615","$1,378,242","$1,618,520",,,,MLE,Sindarius Thornwell,"$2,193,857",LAC
465,"$815,615","$1,378,242","$1,618,520",,,,MLE,Jawun Evans,"$2,193,857",LAC
466,"$815,615","$1,378,242","$1,618,520",,,,MLE,Dwayne Bacon,"$2,193,857",CHO
467,"$815,615","$1,378,242",,,,,Minimum Salary,Tyler Dorsey,"$2,193,857",ATL
468,"$815,615","$1,378,242","$1,618,520",,,,Minimum Salary,Davon Reed,"$1,504,736",PHO
469,"$815,615","$1,378,242","$1,618,520",,,,Cap space,Royce O'Neale,"$815,615",UTA
470,"$815,615","$1,378,242",,,,,Minimum Salary,Alfonzo McKinnie,"$815,615",TOR
471,"$815,615","$1,378,242",,,,,Minimum Salary,Brandon Paul,"$815,615",SAS
472,"$815,615","$1,378,242",,,,,Minimum Salary,Khem Birch,"$815,615",ORL
473,"$815,615","$1,378,242",,,,,Minimum Salary,Thomas Bryant,"$815,615",LAL
474,"$815,615","$1,378,242","$1,618,520","$1,752,950",,,MLE,Zhou Qi,"$815,615",HOU
475,"$815,615","$1,378,242",,,,,Minimum Salary,Maxi Kleber,"$815,615",DAL
476,"$815,615","$1,378,242",,,,,Minimum Salary,Daniel Theis,"$815,615",BOS
477,"$789,725",,,,,,,Sean Kilpatrick,"$789,725",MIL
478,"$784,160","$1,795,015",,,,,Minimum Salary,Trey Burke,"$784,160",NYK
479,"$778,668","$1,544,951",,,,,Two-Way Converted,Alex Poythress,"$778,668",IND
480,"$776,217",,,,,,,Marco Belinelli,,PHI
481,"$749,905",,,,,,,Joe Johnson,,HOU
482,"$748,160","$1,600,520",,,,,Two-Way Converted,Dwight Buycks,"$748,160",DET
483,"$679,919","$1,378,242",,,,,,Tyler Cavanaugh,"$729,919",ATL
484,"$650,000","$650,000",,,,,,Carlos Delfino,"$1,300,000",LAC
485,"$517,220","$517,220",,,,,,Caron Butler,"$1,034,440",SAC
486,"$510,921",,,,,,,Jordan Farmar,"$510,921",LAC
487,"$502,328",,,,,,,Ersan Ilyasova,,PHI
488,"$500,000",,,,,,,Leandro Barbosa,"$500,000",PHO
489,"$500,000",,,,,,,Tibor Pleiss,"$500,000",PHI
490,"$500,000",,,,,,,Michael Gbinije,"$500,000",DET
491,"$452,059",,,,,,,Aaron Gray,"$452,059",DET
492,"$333,334","$333,333","$333,333",,,,,Festus Ezeli,"$1,000,000",POR
493,"$333,334","$333,333","$333,333",,,,,C.J. Watson,"$1,000,000",ORL
494,"$315,760",,,,,,,Gal Mekel,"$315,760",DAL
495,"$300,000","$300,000",,,,,,Miroslav Raduljica,"$600,000",LAC
496,"$300,000",,,,,,,Cameron Oliver,"$300,000",HOU
497,"$263,124",,,,,,,Ramon Sessions,,WAS
498,"$250,000",,,,,,,Jordan Crawford,"$250,000",NOP
499,"$239,204",,,,,,,Emeka Okafor,"$239,204",NOP
500,"$238,020",,,,,,,Brandon Jennings,,MIL
501,"$222,476",,,,,,,Wade Baldwin,,POR
502,"$200,000",,,,,,,Isaiah Canaan,"$200,000",CHI
503,"$172,552",,,,,,,Rakeem Christmas,"$172,552",IND
504,"$172,238",,,,,,,DeAndre Liggins,"$172,238",NOP
505,"$172,238",,,,,,,Sean Kilpatrick,,LAC
506,"$166,258",,,,,,,Rashad Vaughn,,ORL
507,"$148,318",,,,,,,David Stockton,,UTA
508,"$148,318",,,,,,,Troy Williams,,NYK
509,"$148,318",,,,,,,Larry Drew,,NOP
510,"$148,318",,,,,,,Travis Wear,,LAL
511,"$140,902",,,,,,,Carrick Felix,"$140,902",WAS
512,"$119,602",,,,,,,Brandon Rush,,POR
513,"$104,059",,,,,,,Jeremy Evans,"$50,000",ATL
514,"$104,059",,,,,,,Derrick Williams,,LAL
515,"$100,000",,,,,,,K.J. McDaniels,"$100,000",TOR
516,"$100,000",,,,,,,Marshall Plumlee,"$100,000",NYK
517,"$100,000",,,,,,,Georges Niang,"$100,000",IND
518,"$100,000",,,,,,,Quinn Cook,"$100,000",ATL
519,"$92,858","$92,857","$92,857","$92,857","$92,857",,,Demetrius Jackson,"$650,000",BOS
520,"$92,160",,,,,,,Kyle Collinsworth,"$142,160",DAL
521,"$92,160",,,,,,,Josh Gray,"$92,160",PHO
522,"$92,160",,,,,,,Naz Mitrou-Long,"$50,000",UTA
523,"$92,160",,,,,,,Nigel Hayes,,TOR
524,"$92,160",,,,,,,Shaquille Harrison,,PHO
525,"$92,160",,,,,,,Rodney Purvis,,ORL
526,"$92,160",,,,,,,"Walt Lemon, Jr.",,NOP
527,"$92,160",,,,,,,Jaylen Morris,,ATL
528,"$92,160",,,,,,,Antonius Cleveland,,ATL
529,"$92,160",,,,,,,Damion Lee,,ATL
530,"$87,552",,,,,,,Mike James,"$87,552",PHO
531,"$86,119",,,,,,,MarShon Brooks,,MEM
532,"$83,129",,,,,,,Jarell Eddie,"$83,129",BOS
533,"$83,129",,,,,,,Jarell Eddie,"$17,224",CHI
534,"$83,129",,,,,,,Briante Weber,,MEM
535,"$83,129",,,,,,,Marquis Teague,,MEM
536,"$83,129",,,,,,,Aaron Harrison,,DAL
537,"$74,159",,,,,,,Demetrius Jackson,"$124,159",HOU
538,"$74,159",,,,,,,Georgios Papagiannis,,POR
539,"$74,159",,,,,,,Scotty Hopson,,DAL
540,"$74,159",,,,,,,Okaro White,,CLE
541,"$74,159",,,,,,,Xavier Silas,,BOS
542,"$53,465",,,,,,,Isaiah Canaan,"$53,465",HOU
543,"$50,000",,,,,,,Tyler Cavanaugh,"$729,919",ATL
544,"$50,000",,,,,,,Kyle Collinsworth,"$142,160",DAL
545,"$50,000",,,,,,,Demetrius Jackson,"$124,159",HOU
546,"$50,000",,,,,,,Daniel Ochefu,"$50,000",WAS
547,"$50,000",,,,,,,Michael Young,"$50,000",WAS
548,"$50,000",,,,,,,Eric Griffin,"$50,000",UTA
549,"$50,000",,,,,,,Nate Wolters,"$50,000",UTA
550,"$50,000",,,,,,,Naz Mitrou-Long,"$50,000",UTA
551,"$50,000",,,,,,,James Michael McAdoo,"$50,000",PHI
552,"$50,000",,,,,,,Jacob Pullen,"$50,000",PHI
553,"$50,000",,,,,,,Nigel Hayes,"$50,000",NYK
554,"$50,000",,,,,,,Jalen Moore,"$50,000",MIL
555,"$50,000",,,,,,,Gary Payton,"$50,000",MIL
556,"$50,000",,,,,,,Matt Williams,"$50,000",MIA
557,"$50,000",,,,,,,Vince Hunter,"$50,000",MEM
558,"$50,000",,,,,,,V.J. Beachem,"$50,000",LAL
559,"$50,000",,,,,,,Briante Weber,"$50,000",LAL
560,"$50,000",,,,,,,Vander Blue,"$50,000",LAL
561,"$50,000",,,,,,,Jamil Wilson,"$50,000",LAC
562,"$50,000",,,,,,,Briante Weber,"$50,000",HOU
563,"$50,000",,,,,,,Luis Montero,"$50,000",DET
564,"$50,000",,,,,,,Antonius Cleveland,"$50,000",DAL
565,"$50,000",,,,,,,Gian Clavell,"$50,000",DAL
566,"$50,000",,,,,,,Diamond Stone,"$50,000",CHI
567,"$50,000",,,,,,,Yakuba Ouattara,"$50,000",BRK
568,"$50,000",,,,,,,Jeremy Evans,"$50,000",ATL
569,"$46,080",,,,,,,Nigel Hayes,"$46,080",LAL
570,"$46,080",,,,,,,Xavier Rathan-Mayes,,MEM
571,"$46,080",,,,,,,Trey McKinney-Jones,,IND
572,"$46,080",,,,,,,Le'Bryan Nash,,HOU
573,"$46,080",,,,,,,Jameel Warney,,DAL
574,"$46,080",,,,,,,Marcus Thornton,,CLE
575,"$26,773",,,,,,,DeAndre Liggins,"$26,773",ATL
576,"$25,000",,,,,,,Quinn Cook,"$25,000",NOP
577,"$25,000",,,,,,,Axel Toupane,"$25,000",NOP
578,"$25,000",,,,,,,Chris Johnson,"$25,000",HOU
579,"$25,000",,,,,,,Beno Udrih,"$25,000",DET
580,"$22,248",,,,,,,Joel Bolomboy,"$22,248",MIL
581,"$17,224",,,,,,,Jarell Eddie,"$17,224",CHI
